original,connected,weight
9,17,13.612569382170214
9,18,8.184298194954751
9,19,15.666681080746729
9,20,6.626576782805756
9,21,17.436377930032364
9,22,7.429854354474551
9,23,9.657820815579086
9,24,15.023519802293047
9,25,11.654112167949435
9,26,6.028409566259614
9,27,17.76050845241835
9,28,10.12576916373003
9,29,10.390014208029637
9,30,10.45058910035684
9,31,2.797159400608466
9,32,2.571759916795315
9,33,2.116679934508501
9,34,13.45564523021855
9,35,17.38188983466755
9,36,8.204289238345053
9,37,4.841454596594185
9,38,11.82899777425788
9,39,16.304332735449687
9,40,11.292729166544342
9,41,11.034187197583897
9,42,10.495858688381356
9,43,15.289452482951221
10,0,10.61402740866167
10,1,7.089833825478513
10,2,8.562790987000616
10,3,12.251571378689777
10,4,7.081796889052784
10,5,13.569086173363242
10,6,20.466492237592
10,7,11.420971136164379
10,8,1.9549064222178312
10,9,7.90476952236369
10,11,5.614918128660201
10,12,7.294805737903422
10,13,9.194672084537343
10,14,1.4435171188208233
10,15,15.203690593962543
10,16,9.56324221150381
10,17,14.372181021755503
10,18,16.04591735066031
10,19,13.069871361576267
10,20,2.430798526964927
10,21,20.564096615302734
10,22,15.33454244259919
10,23,16.56879660918513
10,24,17.58423169038836
10,25,14.492390343781267
10,26,13.18636928389089
10,27,15.699313866667259
10,28,6.1499816962343505
10,29,16.982064402524713
10,30,8.487976956778722
10,31,10.699528566748766
10,32,10.455309618591082
10,33,8.919593226180574
10,34,13.600804155394973
10,35,15.089289550804565
10,36,1.6269485997066562
10,37,4.347363535082961
10,38,13.814946320589383
10,39,16.778043196535563
10,40,14.754156634731315
10,41,8.008210975215269
10,42,17.345390823540907
10,43,20.186959541628237
11,0,5.266549893676805
11,1,1.6263142550812075
11,2,3.0383102057642146
11,3,6.789568314580434
11,4,7.474257696451011
11,5,8.894321345876271
11,6,15.002092292948982
11,7,8.096258639296753
11,8,7.544048944422552
11,9,4.743544445895706
11,10,5.614918128660201
11,12,3.1165971583927696
11,13,7.084918866590249
11,14,6.585196683597254
11,15,11.1229524013077
11,16,7.029785412663747
11,17,10.063526157307113
11,18,12.336579427639533
11,19,11.067316503208371
11,20,3.310624375168027
11,21,15.39746687780939
11,22,11.325754724600788
11,23,11.233745192637306
11,24,12.555112700996066
11,25,9.271090293034014
11,26,8.13808605540335
11,27,13.31489859246401
11,28,5.451084204931938
11,29,11.52387486602371
11,30,5.798841624977782
11,31,7.079342054870477
11,32,6.988567251899685
11,33,4.395551800357889
11,34,9.614512561971152
11,35,12.875857011582168
11,36,4.963336803095318
11,37,1.3092202915117428
11,38,8.88423163719697
11,39,12.713432803603085
11,40,9.361527725741407
